Video,BlinkRate,AvgClosureDegree,MaxClosureFrames,ValidDuration,Blinks,Duration,Yawns,GroundTruth
IMG_8691_11.avi,1.75,0.298301042,14,4.0,7,4.0,0,False
IMG_8752_02.avi,1.0,0.316251269,4,4.0,4,4.0,0,False
IMG_8674_02.avi,0.0,0.199729768,120,4.0,0,4.0,0,True
IMG_8752_13.avi,0.5,0.304010978,29,4.0,2,4.0,0,False
IMG_8685_09.avi,1.962616822,0.28670245699999997,12,3.566666667,7,4.0,0,False
IMG_8685_06.avi,0.857142857,0.318952605,4,2.333333333,2,4.0,0,False
IMG_8673_05.avi,0.7792207790000001,0.290323559,23,2.566666667,2,4.0,0,False
IMG_8691_14.avi,2.25,0.287264171,10,4.0,9,4.0,0,False
IMG_8744_10.avi,0.25,0.20105064600000003,108,4.0,1,4.0,0,True
IMG_8673_10.avi,0.75,0.32284372899999997,5,4.0,3,4.0,0,False
IMG_8676_01.avi,0.796460177,0.293362969,43,3.766666667,3,4.0,0,False
IMG_8687_00.avi,1.794871795,0.262171606,36,3.9,7,4.0,1,True
IMG_8744_11.avi,0.0,0.212630228,120,4.0,0,4.0,0,True
IMG_8686_09.avi,1.75,0.271958099,24,4.0,7,4.0,0,False
IMG_8752_04.avi,2.0,0.250463965,43,4.0,8,4.0,0,False
IMG_8686_11.avi,1.442307692,0.256085752,54,3.4666666669999997,5,4.0,0,False
IMG_8744_04.avi,1.2605042020000001,0.270345761,41,3.9666666669999997,5,4.0,0,True
IMG_8685_00.avi,1.285714286,0.310635638,11,2.333333333,3,4.0,0,False
IMG_8744_08.avi,0.0,0.20562379100000003,120,4.0,0,4.0,0,True
IMG_8752_10.avi,2.75,0.287577099,7,4.0,11,4.0,0,False
IMG_8673_04.avi,2.25,0.282827738,21,4.0,9,4.0,0,False
IMG_8676_02.avi,0.5,0.32067097699999997,7,4.0,2,4.0,0,False
IMG_8674_00.avi,1.5,0.303001075,10,4.0,6,4.0,0,False
IMG_8676_03.avi,0.7894736840000001,0.317737025,4,1.266666667,1,4.0,0,False
IMG_8687_02.avi,0.75,0.24642545899999999,66,4.0,3,4.0,1,True
IMG_8691_12.avi,1.25,0.299161207,18,4.0,5,4.0,0,False
IMG_8691_00.avi,0.0,0.321638931,2,2.066666667,0,4.0,0,False
IMG_8676_04.avi,1.071428571,0.32270008899999997,7,2.8,3,4.0,1,False
IMG_8752_31.avi,0.5,0.18308571,97,4.0,2,4.0,0,True
IMG_8686_05.avi,0.75,0.249850687,55,4.0,3,4.0,0,False
IMG_8752_27.avi,0.75,0.230370915,49,4.0,3,4.0,0,True
IMG_8685_11.avi,0.5660377360000001,0.26028467,15,1.766666667,1,4.0,0,False
IMG_8752_09.avi,2.75,0.292562045,8,4.0,11,4.0,0,False
IMG_8686_02.avi,0.375,0.209328967,45,2.666666667,1,4.0,0,False
IMG_8676_08.avi,0.36144578299999996,0.38707644,4,2.766666667,1,4.0,0,False
IMG_8752_30.avi,1.25,0.23199473199999998,56,4.0,5,4.0,0,True
IMG_8673_00.avi,1.0,0.32100254899999997,14,4.0,4,4.0,0,False
IMG_8687_01.avi,0.75,0.239354111,42,4.0,3,4.0,0,True
IMG_8691_15.avi,2.079207921,0.293466076,12,3.366666667,7,4.0,0,False
IMG_8685_01.avi,1.8518518519999998,0.26993996,22,2.7,5,4.0,0,False
IMG_8752_24.avi,2.0,0.305930712,8,4.0,8,4.0,0,True
IMG_8676_06.avi,1.0,0.260549259,40,4.0,4,4.0,0,False
IMG_8673_07.avi,0.6521739129999999,0.359062296,8,1.533333333,1,4.0,0,False
IMG_8686_06.avi,2.0,0.302637107,8,4.0,8,4.0,0,False
IMG_8685_03.avi,1.0,0.324329695,7,4.0,4,4.0,0,False
IMG_8676_07.avi,0.7894736840000001,0.168134437,33,1.266666667,1,4.0,0,False
IMG_8686_08.avi,2.268907563,0.24006029199999998,29,3.9666666669999997,9,4.0,1,True
IMG_8752_03.avi,1.75,0.283826375,27,4.0,7,4.0,0,False
IMG_8673_06.avi,0.263157895,0.41169761299999996,3,3.8,1,4.0,0,False
IMG_8752_18.avi,1.5,0.299325528,5,4.0,6,4.0,0,False
IMG_8752_11.avi,2.75,0.286824825,17,4.0,11,4.0,0,False
IMG_8686_10.avi,1.25,0.272162079,25,4.0,5,4.0,0,False
IMG_8752_08.avi,1.0,0.323698289,10,4.0,4,4.0,0,False
IMG_8686_01.avi,1.0,0.236534329,54,4.0,4,4.0,0,False
IMG_8752_33.avi,0.5,0.194682358,104,4.0,2,4.0,0,True
IMG_8744_09.avi,0.5042016810000001,0.192316908,85,3.9666666669999997,2,4.0,0,True
IMG_8691_07.avi,0.75,0.33033700899999996,6,4.0,3,4.0,0,False
IMG_8752_05.avi,1.5,0.277019238,28,4.0,6,4.0,0,False
IMG_8686_12.avi,1.0843373490000001,0.25011989,38,2.766666667,3,4.0,0,False
IMG_8691_02.avi,1.2605042020000001,0.30087277100000004,15,3.9666666669999997,5,4.0,0,False
IMG_8744_05.avi,2.0,0.263304263,17,4.0,8,4.0,0,True
IMG_8675_02.avi,1.25,0.302232083,9,4.0,5,4.0,0,False
IMG_8752_14.avi,1.212121212,0.279243996,42,3.3,4,4.0,0,False
IMG_8744_07.avi,0.5,0.24797760100000002,69,4.0,2,4.0,0,True
IMG_8752_25.avi,2.0,0.285016487,19,4.0,8,4.0,0,True
IMG_8752_12.avi,2.5,0.289569385,11,4.0,10,4.0,0,False
IMG_8752_07.avi,2.0,0.293998639,14,4.0,8,4.0,0,False
IMG_8752_28.avi,3.0,0.238953167,17,4.0,12,4.0,0,True
IMG_8686_00.avi,1.5,0.231813894,45,4.0,6,4.0,0,False
IMG_8676_12.avi,0.75,0.303704998,37,4.0,3,4.0,1,False
IMG_8691_03.avi,1.25,0.28246042899999996,27,4.0,5,4.0,0,False
IMG_8685_02.avi,1.5,0.26116686100000003,40,4.0,6,4.0,0,False
IMG_8744_00.avi,1.25,0.306434957,4,4.0,5,4.0,0,False
IMG_8752_32.avi,0.0,0.15922448,120,4.0,0,4.0,0,True
IMG_8744_02.avi,1.25,0.303687621,9,4.0,5,4.0,0,True
IMG_8685_04.avi,1.0,0.311737815,21,4.0,4,4.0,0,False
IMG_8691_08.avi,1.0,0.303605394,17,4.0,4,4.0,0,False
IMG_8673_08.avi,0.0,0.330900117,9,0.7666666670000001,0,4.0,0,False
IMG_8674_01.avi,1.0,0.265130494,57,4.0,4,4.0,0,True
IMG_8691_04.avi,1.0084033609999998,0.294334347,15,3.9666666669999997,4,4.0,0,False
IMG_8752_15.avi,1.25,0.28570506,15,4.0,5,4.0,0,False
IMG_8676_11.avi,0.5,0.342158525,13,4.0,2,4.0,1,False
IMG_8691_05.avi,2.25,0.278260761,17,4.0,9,4.0,0,False
IMG_8673_02.avi,2.0,0.261434796,34,4.0,8,4.0,0,False
IMG_8685_12.avi,0.75,0.30548599,9,4.0,3,4.0,0,False
IMG_8676_05.avi,0.841121495,0.334635401,5,3.566666667,3,4.0,0,False
IMG_8744_01.avi,1.0,0.310816889,4,4.0,4,4.0,0,False
IMG_8685_08.avi,0.352941176,0.323053188,5,2.833333333,1,4.0,0,False
IMG_8685_07.avi,0.857142857,0.280788687,5,1.166666667,1,4.0,0,False
IMG_8752_20.avi,1.75,0.289439357,23,4.0,7,4.0,0,False
IMG_8675_01.avi,2.25,0.282630998,28,4.0,9,4.0,0,False
IMG_8752_19.avi,0.5,0.339283145,5,4.0,2,4.0,0,False
IMG_8675_00.avi,2.25,0.299040874,7,4.0,9,4.0,0,False
IMG_8686_03.avi,0.762711864,0.28936296300000003,21,3.933333333,3,4.0,0,False
IMG_8673_03.avi,2.0,0.285583999,13,4.0,8,4.0,0,False
IMG_8752_06.avi,2.5,0.304238163,9,4.0,10,4.0,0,False
IMG_8744_06.avi,1.5384615380000002,0.24960140600000003,24,3.9,6,4.0,0,True
IMG_8752_00.avi,2.0,0.277723,28,4.0,8,4.0,0,False
IMG_8752_17.avi,2.105263158,0.285079305,28,3.8,8,4.0,0,False
IMG_8673_11.avi,0.5,0.334612281,3,4.0,2,4.0,0,False
IMG_8752_01.avi,1.0,0.321156022,4,4.0,4,4.0,0,False
IMG_8691_01.avi,0.25,0.355067766,5,4.0,1,4.0,0,False
IMG_8691_09.avi,1.794871795,0.296895575,9,3.9,7,4.0,0,False
IMG_8686_04.avi,1.75,0.272945445,28,4.0,7,4.0,0,False
IMG_8691_13.avi,0.5,0.34031180299999997,7,4.0,2,4.0,0,False
IMG_8752_29.avi,1.0,0.249695957,37,4.0,4,4.0,0,True
IMG_8676_09.avi,0.263157895,0.395728175,4,3.8,1,4.0,0,False
IMG_8691_10.avi,1.061946903,0.301618097,12,3.766666667,4,4.0,0,False
IMG_8752_23.avi,0.25,0.259933441,89,4.0,1,4.0,0,False
IMG_8674_03.avi,0.0,0.189084141,120,4.0,0,4.0,0,True
IMG_8752_21.avi,1.5,0.296853009,13,4.0,6,4.0,0,False
IMG_8676_10.avi,0.0,0.373958388,3,4.0,0,4.0,1,False
IMG_8673_09.avi,0.882352941,0.36132637,9,2.266666667,2,4.0,0,False
IMG_8744_03.avi,2.75,0.271019702,30,4.0,11,4.0,0,True
IMG_8676_00.avi,1.75,0.304522127,13,4.0,7,4.0,0,False
IMG_8752_26.avi,1.0,0.22008363399999997,43,4.0,4,4.0,0,True
IMG_8685_05.avi,1.2,0.294850492,17,3.333333333,4,4.0,0,False
IMG_8752_22.avi,2.75,0.279421386,14,4.0,11,4.0,0,False
IMG_8676_13.avi,1.530612245,0.283510881,26,3.266666667,5,4.0,0,False
IMG_8673_01.avi,0.75,0.2663596,48,4.0,3,4.0,0,False
IMG_8691_06.avi,1.25,0.32288808,6,4.0,5,4.0,0,False
IMG_8752_16.avi,1.2931034479999999,0.330348297,5,3.866666667,5,4.0,0,False
